Time Cost: 47.84055209159851s
Community 698: ['4219']
Community 699: ['4221']
Community 700: ['4222']
Community 701: ['4223']
Community 702: ['4224']
Community 703: ['4225']
Community 704: ['4226']
Community 705: ['4227']
Community 706: ['4228']
Community 707: ['4229']
Community 708: ['4230']
Community 709: ['4231']
Community 710: ['4232']
Community 711: ['4233']
Community 712: ['4234']
Community 713: ['4235']
Community 714: ['4236']
Community 715: ['4237']
Community 716: ['4238']
Community 717: ['4239']
Community 718: ['4240']
Community 719: ['4241']
Community 720: ['4242']
Community 721: ['4243']
Community 722: ['4244']
Community 723: ['4245']
Community 724: ['4246']
Community 725: ['4247']
Community 726: ['4248']
Community 727: ['4249']
Community 728: ['4250']
Community 729: ['4251']
Community 730: ['4252']
Community 731: ['4253']
Community 732: ['4254']
Community 733: ['4256']
Community 734: ['4257']
Community 735: ['4258']
Community 736: ['4259']
Community 737: ['4260']
Community 738: ['4262']
Community 739: ['4263']
Community 740: ['4264']
Community 741: ['4265']
Community 742: ['4266']
Community 743: ['4267']
Community 744: ['4268']
Community 745: ['4269']
Community 746: ['4270']
Community 747: ['4271']
Community 748: ['4272']
Community 749: ['4274']
Community 750: ['4275']
Community 751: ['4276']
Community 752: ['4277']
Community 753: ['4278']
Community 754: ['4279']
Community 755: ['4280']
Community 756: ['4281']
Community 757: ['4282']
Community 758: ['4283']
Community 759: ['4284']
Community 760: ['4285']
Community 761: ['4286']
Community 762: ['4287']
Community 763: ['4288']
Community 764: ['4289']
Community 765: ['4290']
Community 766: ['4291']
Community 767: ['4292']
Community 768: ['4293']
Community 769: ['4294']
Community 770: ['4296']
Community 771: ['4297']
Community 772: ['4298']
Community 773: ['4299']
Community 774: ['4300']
Community 775: ['4301']
Community 776: ['4302']
Community 777: ['4303']
Community 778: ['4304']
Community 779: ['4305']
Community 780: ['4306']
Community 781: ['4307']
Community 782: ['4308']
Community 783: ['4309']
Community 784: ['4310']
Community 785: ['4311']
Community 786: ['4312']
Community 787: ['4313']
Community 788: ['4314']
Community 789: ['4315']
Community 790: ['4316']
Community 791: ['4317']
Community 792: ['4318']
Community 793: ['4319']
Community 794: ['4320']
Community 795: ['4321']
Community 796: ['4322']
Community 797: ['4323']
Community 798: ['4324']
Community 799: ['4325']
Community 800: ['4326']
Community 801: ['4327']
Community 802: ['4329']
Community 803: ['4330']
Community 804: ['4331']
Community 805: ['4332']
Community 806: ['4333']
Community 807: ['4334']
Community 808: ['4335']
Community 809: ['4336']
Community 810: ['4337']
Community 811: ['4338']
Community 812: ['4339']
Community 813: ['4340']
Community 814: ['4341']
Community 815: ['4342']
Community 816: ['4343']
Community 817: ['4344']
Community 818: ['4345']
Community 819: ['4346']
Community 820: ['4347']
Community 821: ['4348']
Community 822: ['4349']
Community 823: ['4350']
Community 824: ['4351']
Community 825: ['4352']
Community 826: ['4353']
Community 827: ['4354']
Community 828: ['4355']
Community 829: ['4356']
Community 830: ['4357']
Community 831: ['4358']
Community 832: ['4359']
Community 833: ['4361']
Community 834: ['4362']
Community 835: ['4363']
Community 836: ['4364']
Community 837: ['4365']
Community 838: ['4366']
Community 839: ['4367']
Community 840: ['4369']
Community 841: ['4370']
Community 842: ['4371']
Community 843: ['4372']
Community 844: ['4373']
Community 845: ['4374']
Community 846: ['4375']
Community 847: ['4376']
Community 848: ['4377']
Community 849: ['4378']
Community 850: ['4379']
Community 851: ['4380']
Community 852: ['4381']
Community 853: ['4382']
Community 854: ['4383']
Community 855: ['4384']
Community 856: ['4385']
Community 857: ['4386']
Community 858: ['4387']
Community 859: ['4388']
Community 860: ['4389']
Community 861: ['4390']
Community 862: ['4391']
Community 863: ['4392']
Community 864: ['4393']
Community 865: ['4394']
Community 866: ['4395']
Community 867: ['4396']
