Time Cost: 68.62752771377563s
Community 660: ['3823']
Community 661: ['3824']
Community 662: ['3825']
Community 663: ['3826']
Community 664: ['3827']
Community 665: ['3828']
Community 666: ['3829']
Community 667: ['3830']
Community 668: ['3831']
Community 669: ['3832']
Community 670: ['3833']
Community 671: ['3834']
Community 672: ['3835']
Community 673: ['3836']
Community 674: ['3837']
Community 675: ['3838']
Community 676: ['3839']
Community 677: ['3840']
Community 678: ['3841']
Community 679: ['3842']
Community 680: ['3843']
Community 681: ['3844']
Community 682: ['3845']
Community 683: ['3846']
Community 684: ['3847']
Community 685: ['3848']
Community 686: ['3849']
Community 687: ['3850']
Community 688: ['3851']
Community 689: ['3852']
Community 690: ['3853']
Community 691: ['3854']
Community 692: ['3855']
Community 693: ['3856']
Community 694: ['3857']
Community 695: ['3858']
Community 696: ['3859']
Community 697: ['3860']
Community 698: ['3861']
Community 699: ['3862']
Community 700: ['3863']
Community 701: ['3864']
Community 702: ['3865']
Community 703: ['3866']
Community 704: ['3867']
Community 705: ['3868']
Community 706: ['3869']
Community 707: ['3870']
Community 708: ['3871']
Community 709: ['3872']
Community 710: ['3873']
Community 711: ['3874']
Community 712: ['3875']
Community 713: ['3876']
Community 714: ['3877']
Community 715: ['3878']
Community 716: ['3879']
Community 717: ['3880']
Community 718: ['3881']
Community 719: ['3882']
Community 720: ['3883']
Community 721: ['3884']
Community 722: ['3885']
Community 723: ['3886']
Community 724: ['3887']
Community 725: ['3888']
Community 726: ['3889']
Community 727: ['3890']
Community 728: ['3891']
Community 729: ['3892']
Community 730: ['3893']
Community 731: ['3894']
Community 732: ['3895']
Community 733: ['3896']
Community 734: ['3897']
Community 735: ['3898']
Community 736: ['3899']
Community 737: ['3900']
Community 738: ['3901']
Community 739: ['3902']
Community 740: ['3903']
Community 741: ['3904']
Community 742: ['3905']
Community 743: ['3906']
Community 744: ['3907']
Community 745: ['3908']
Community 746: ['3909']
Community 747: ['3910']
Community 748: ['3911']
Community 749: ['3912']
Community 750: ['3913']
Community 751: ['3914']
Community 752: ['3915']
Community 753: ['3916']
Community 754: ['3917']
Community 755: ['3918']
Community 756: ['3919']
Community 757: ['3920']
Community 758: ['3921']
Community 759: ['3922']
Community 760: ['3923']
Community 761: ['3924']
Community 762: ['3925']
Community 763: ['3926']
Community 764: ['3927']
Community 765: ['3928']
Community 766: ['3929']
Community 767: ['3930']
Community 768: ['3931']
Community 769: ['3932']
Community 770: ['3933']
Community 771: ['3934']
Community 772: ['3935']
Community 773: ['3936']
Community 774: ['3937']
Community 775: ['3938']
Community 776: ['3939']
Community 777: ['3940']
Community 778: ['3941']
Community 779: ['3942']
Community 780: ['3943']
Community 781: ['3944']
Community 782: ['3945']
Community 783: ['3946']
Community 784: ['3947']
Community 785: ['3948']
Community 786: ['3949']
Community 787: ['3950']
Community 788: ['3951']
Community 789: ['3952']
Community 790: ['3953']
Community 791: ['3954']
Community 792: ['3955']
Community 793: ['3956']
Community 794: ['3957']
Community 795: ['3958']
Community 796: ['3959']
Community 797: ['3960']
Community 798: ['3961']
Community 799: ['3962']
Community 800: ['3963']
Community 801: ['3964']
Community 802: ['3965']
Community 803: ['3966']
Community 804: ['3967']
Community 805: ['3968']
Community 806: ['3969']
Community 807: ['3970']
Community 808: ['3971']
Community 809: ['3972']
Community 810: ['3973']
Community 811: ['3974']
Community 812: ['3975']
Community 813: ['3976']
Community 814: ['3977']
Community 815: ['3978']
Community 816: ['3979']
Community 817: ['3980']
Community 818: ['3981']
Community 819: ['3982']
Community 820: ['3983']
Community 821: ['3984']
Community 822: ['3985']
Community 823: ['3986']
Community 824: ['3987']
Community 825: ['3988']
Community 826: ['3989']
Community 827: ['3990']
Community 828: ['3991']
Community 829: ['3992']
Community 830: ['3993']
Community 831: ['3994']
Community 832: ['3995']
Community 833: ['3996']
Community 834: ['3997']
Community 835: ['3998']
Community 836: ['3999']
Community 837: ['4000']
Community 838: ['4001']
Community 839: ['4002']
Community 840: ['4003']
Community 841: ['4004']
Community 842: ['4005']
Community 843: ['4006']
Community 844: ['4007']
Community 845: ['4008']
Community 846: ['4009']
Community 847: ['4010']
Community 848: ['4011']
Community 849: ['4012']
Community 850: ['4013']
Community 851: ['4014']
Community 852: ['4015']
Community 853: ['4016']
Community 854: ['4017']
Community 855: ['4018']
Community 856: ['4019']
Community 857: ['4020']
Community 858: ['4021']
Community 859: ['4022']
Community 860: ['4023']
Community 861: ['4024']
Community 862: ['4025']
Community 863: ['4026']
Community 864: ['4027']
Community 865: ['4028']
Community 866: ['4029']
Community 867: ['4030']
Community 868: ['4031']
Community 869: ['4032']
Community 870: ['4033']
Community 871: ['4034']
Community 872: ['4035']
Community 873: ['4036']
Community 874: ['4037']
Community 875: ['4038']
Community 876: ['4039']
Community 877: ['4040']
Community 878: ['4041']
Community 879: ['4042']
Community 880: ['4043']
Community 881: ['4044']
Community 882: ['4045']
Community 883: ['4046']
Community 884: ['4047']
Community 885: ['4048']
Community 886: ['4049']
Community 887: ['4050']
Community 888: ['4051']
Community 889: ['4052']
Community 890: ['4053']
Community 891: ['4054']
