Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
6964,48,110,61,0.5545454545454546
6965,50,111,60,0.5405405405405406
6966,48,111,62,0.5585585585585585
6967,46,110,63,0.5727272727272728
6968,71,110,38,0.34545454545454546
6969,43,109,65,0.5963302752293578
6970,46,109,62,0.5688073394495413
6971,43,109,65,0.5963302752293578
6972,76,111,34,0.3063063063063063
6973,43,110,66,0.6
6974,50,111,60,0.5405405405405406
6975,42,109,66,0.6055045871559633
6976,52,109,56,0.5137614678899083
6977,49,110,60,0.5454545454545454
6978,42,108,65,0.6018518518518519
6979,56,110,53,0.4818181818181818
6980,40,110,69,0.6272727272727273
6981,36,111,74,0.6666666666666666
6982,60,110,49,0.44545454545454544
6983,50,112,61,0.5446428571428571
6984,43,111,67,0.6036036036036037
6985,44,110,65,0.5909090909090909
6986,46,111,64,0.5765765765765766
6987,66,109,42,0.3853211009174312
6988,86,111,24,0.21621621621621623
6989,86,110,23,0.20909090909090908
6990,69,110,40,0.36363636363636365
6991,50,110,59,0.5363636363636364
6992,46,111,64,0.5765765765765766
6993,65,111,45,0.40540540540540543
6994,41,109,67,0.6146788990825688
6995,49,111,61,0.5495495495495496
6996,46,109,62,0.5688073394495413
6997,46,110,63,0.5727272727272728
6998,44,111,66,0.5945945945945946
6999,51,110,58,0.5272727272727272
7000,39,109,69,0.6330275229357798
7001,49,112,62,0.5535714285714286
7002,44,110,65,0.5909090909090909
7003,90,110,19,0.17272727272727273
7004,36,110,73,0.6636363636363637
7005,39,109,69,0.6330275229357798
7006,45,110,64,0.5818181818181818
7007,49,112,62,0.5535714285714286
7008,40,111,70,0.6306306306306306
7009,79,111,31,0.27927927927927926
7010,75,110,34,0.3090909090909091
7011,83,109,25,0.22935779816513763
7012,61,110,48,0.43636363636363634
7013,96,109,12,0.11009174311926606
7014,85,109,23,0.21100917431192662
7015,52,112,59,0.5267857142857143
7016,44,111,66,0.5945945945945946
7017,51,109,57,0.5229357798165137
7018,48,110,61,0.5545454545454546
7019,48,112,63,0.5625
7020,43,110,66,0.6
7021,53,110,56,0.509090909090909
7022,31,109,77,0.7064220183486238
7023,46,110,63,0.5727272727272728
