Benchmark,Comm before verify,Cell-cell Edges before verify,Comm after verify,Edges after verify,Cell-cell Edges before merge,Edges after merge,,,,,,
agc_8_6,192,186,241,235
agc_8_7,192,192,241,241
agc_8_8,192,192,241,241
agc_8_9,192,192,241,241
agc_8_10,192,192,241,241
agc_200_4,192,1,241,0
agc_300_4,192,1,241,0
cobra_50_4,48,1,286,0test8_bio,7,1,10,0
test8_bio,12,3,40,3
test8_bio,12,3,40,3
cobra_50_4,48,1,286,0
cobra_50_6,48,1,286,0
cobra_50_8,48,1,286,0
cobra_50_10,48,1,286,0
cobra_50_12,48,1,286,0
cobra_50_20,48,1,286,0
cobra_50_4,48,1,286,0
cobra_50_6,48,1,286,0
cobra_50_8,48,1,286,0
cobra_50_10,48,1,286,0
cobra_50_12,48,1,286,0
cobra_50_20,48,1,286,0
sha256_core_nor_13_5,11688,11688,16616,16616
sha256_core_nor_13_6,11688,11688,16616,16616
sha256_core_nor_13_7,11688,11688,16616,16616
sha256_core_nor_13_8,11688,11688,16616,16616
sha256_core_nor_13_9,11688,11688,16616,16616
sha256_core_nor_13_10,11688,11688,16616,16616
sha256_core_nor_13_11,11688,11688,16616,16616
sha256_core_nor_13_12,11688,11688,16616,16616
sha256_core_nor_13_13,11688,11688,16616,16616
sha256_core_nor_13_14,11688,11688,16616,16616
sha256_core_nor_13_15,11688,11688,16616,16616
ascon1,51,51,71,71
ascon2,80,80,96,96
ascon4,160,160,192,192
ascon8,320,320,384,384
ascon64,2560,2560,3072,3072
ascon,6215,6215,10380,10380
ascon1,51,51,71,71
ascon2,80,80,96,96
ascon4,160,160,192,192
ascon8,320,320,384,384
ascon64,2560,2560,3072,3072
ascon,6215,6215,10380,10380
ascon64_5,2560,2560,3072,3072
ascon_5,6215,6215,10380,10380
test4_bio,15,15,20,20
test4_p1,15,15,20,20
test4_p2,15,15,20,20
test4_p3,15,15,20,20
test4_p4,15,11,20,16
test4_p5,15,15,20,20
test4_p7,15,15,20,20
test4_p8,15,15,20,20
test4_p9,15,15,20,20
test4_p10,15,15,20,20
test4_p11,15,15,20,20
test4_p12,15,15,20,20
test4_p13,15,15,20,20
test4_p14,15,15,20,20
test4_p15,15,15,20,20
test4_p1,15,15,20,20
test4_p2,15,15,20,20
test4_p3,15,15,20,20
test4_p4,15,11,20,16
test4_p5,15,15,20,20
test4_p7,15,15,20,20
test4_p8,15,15,20,20
test4_p9,15,15,20,20
test4_p10,15,15,20,20
test4_p11,15,15,20,20
test4_p12,15,15,20,20
test4_p13,15,15,20,20
test4_p14,15,15,20,20
test4_p15,15,15,20,20
test4_p1,15,15,20,20
test4_p2,15,15,20,20
test4_p3,15,15,20,20
test4_p4,15,11,20,16
test4_p5,15,15,20,20
test4_p7,15,15,20,20
test4_p8,15,15,20,20
test4_p9,15,15,20,20
test4_p10,15,15,20,20
test4_p11,15,15,20,20
test4_p12,15,15,20,20
test4_p13,15,15,20,20
test4_p14,15,15,20,20
test4_p15,15,15,20,20
test4_p1,15,15,20,20
test4_p2,15,15,20,20
test4_p3,15,15,20,20
test4_p4,15,11,20,16
test4_p5,15,15,20,20
test4_p7,15,15,20,20
test4_p8,15,15,20,20
test4_p9,15,15,20,20
test4_p10,15,15,20,20
test4_p11,15,15,20,20
test4_p12,15,15,20,20
test4_p13,15,15,20,20
test4_p14,15,15,20,20
test4_p15,15,15,20,20
test4_p1,15,15,20,20
test4_p2,15,15,20,20
test4_p3,15,15,20,20
test4_p4,15,11,20,16
test4_p5,15,15,20,20
test4_p7,15,15,20,20
test4_p8,15,15,20,20
test4_p9,15,15,20,20
test4_p10,15,15,20,20
test4_p11,15,15,20,20
test4_p12,15,15,20,20
test4_p13,15,15,20,20
test4_p14,15,15,20,20
test4_p15,15,15,20,20
sha256_core_nor_13_5_8,12200,12200,17128,17128
sha256_core_nor_13_6_10,12200,12200,17128,17128
sha256_core_nor_13_7_11,12200,12200,17128,17128
sha256_core_nor_13_8_12,12200,12200,17128,17128
sha256_core_nor_13_9_13,12200,12200,17128,17128
sha256_core_nor_13_10_14,12200,12200,17128,17128
sha256_core_nor_13_11_15,12200,12200,17128,17128
test4_p0,15,7,20,11
test4_p1,19,11,25,17
test4_p2,15,7,20,11
test4_p3,15,15,20,20
