Time Cost: 231.4469964504242s
Community 793: ['19656']
Community 794: ['19657']
Community 795: ['19658']
Community 796: ['19660']
Community 797: ['19661']
Community 798: ['19662']
Community 799: ['19664']
Community 800: ['19665']
Community 801: ['19666']
Community 802: ['19668']
Community 803: ['19669']
Community 804: ['19670']
Community 805: ['19672']
Community 806: ['19673']
Community 807: ['19674']
Community 808: ['19676']
Community 809: ['19677']
Community 810: ['19678']
Community 811: ['19680']
Community 812: ['19681']
Community 813: ['19682']
Community 814: ['19684']
Community 815: ['19685']
Community 816: ['19686']
Community 817: ['19688']
Community 818: ['19689']
Community 819: ['19690']
Community 820: ['19692']
Community 821: ['19693']
Community 822: ['19694']
Community 823: ['19696']
Community 824: ['19697']
Community 825: ['19698']
Community 826: ['19700']
Community 827: ['19701']
Community 828: ['19702']
Community 829: ['19704']
Community 830: ['19705']
Community 831: ['19706']
Community 832: ['19708']
Community 833: ['19709']
Community 834: ['19710']
Community 835: ['19712']
Community 836: ['19713']
Community 837: ['19714']
Community 838: ['19716']
Community 839: ['19717']
Community 840: ['19718']
Community 841: ['19720']
Community 842: ['19721']
Community 843: ['19722']
Community 844: ['19724']
Community 845: ['19725']
Community 846: ['19726']
Community 847: ['19728']
Community 848: ['19729']
Community 849: ['19730']
Community 850: ['19732']
Community 851: ['19733']
Community 852: ['19734']
Community 853: ['19736']
Community 854: ['19737']
Community 855: ['19738']
Community 856: ['19740']
Community 857: ['19741']
Community 858: ['19742']
Community 859: ['19744']
Community 860: ['19745']
Community 861: ['19746']
Community 862: ['19748']
Community 863: ['19749']
Community 864: ['19750']
Community 865: ['19752']
Community 866: ['19753']
Community 867: ['19754']
Community 868: ['19756']
Community 869: ['19757']
Community 870: ['19758']
Community 871: ['19760']
Community 872: ['19761']
Community 873: ['19762']
Community 874: ['19764']
Community 875: ['19765']
Community 876: ['19766']
Community 877: ['19768']
Community 878: ['19769']
Community 879: ['19770']
Community 880: ['19772']
Community 881: ['19773']
Community 882: ['19774']
Community 883: ['19776']
Community 884: ['19777']
Community 885: ['19778']
Community 886: ['19780']
Community 887: ['19781']
Community 888: ['19782']
Community 889: ['19784']
Community 890: ['19785']
Community 891: ['19786']
Community 892: ['19788']
Community 893: ['19789']
Community 894: ['19790']
Community 895: ['19792']
Community 896: ['19793']
Community 897: ['19794']
Community 898: ['19796']
Community 899: ['19797']
Community 900: ['19798']
Community 901: ['19800']
Community 902: ['19801']
Community 903: ['19802']
Community 904: ['19804']
Community 905: ['19805']
Community 906: ['19806']
Community 907: ['19808']
Community 908: ['19809']
Community 909: ['19810']
Community 910: ['19812']
Community 911: ['19813']
Community 912: ['19814']
Community 913: ['19816']
Community 914: ['19817']
Community 915: ['19818']
Community 916: ['19820']
Community 917: ['19821']
Community 918: ['19822']
Community 919: ['19824']
Community 920: ['19825']
Community 921: ['19826']
Community 922: ['19828']
Community 923: ['19829']
Community 924: ['19830']
Community 925: ['19832']
Community 926: ['19833']
Community 927: ['19834']
Community 928: ['19836']
Community 929: ['19837']
Community 930: ['19838']
Community 931: ['19840']
Community 932: ['19841']
Community 933: ['19842']
Community 934: ['19844']
Community 935: ['19845']
Community 936: ['19846']
Community 937: ['19848']
Community 938: ['19849']
Community 939: ['19850']
Community 940: ['19852']
Community 941: ['19853']
Community 942: ['19854']
Community 943: ['19856']
Community 944: ['19857']
Community 945: ['19858']
Community 946: ['19860']
Community 947: ['19861']
Community 948: ['19862']
Community 949: ['19864']
Community 950: ['19865']
Community 951: ['19866']
Community 952: ['19868']
Community 953: ['19869']
Community 954: ['19870']
Community 955: ['19872']
Community 956: ['19873']
Community 957: ['19874']
Community 958: ['19876']
Community 959: ['19877']
Community 960: ['19878']
Community 961: ['19880']
Community 962: ['19881']
Community 963: ['19882']
Community 964: ['19884']
Community 965: ['19885']
Community 966: ['19886']
Community 967: ['19888']
Community 968: ['19889']
Community 969: ['19890']
Community 970: ['19892']
Community 971: ['19893']
Community 972: ['19894']
Community 973: ['19896']
Community 974: ['19897']
Community 975: ['19898']
Community 976: ['19900']
Community 977: ['19901']
Community 978: ['19902']
Community 979: ['19904']
Community 980: ['19905']
Community 981: ['19906']
Community 982: ['19908']
Community 983: ['19909']
Community 984: ['19910']
Community 985: ['19912']
Community 986: ['19913']
Community 987: ['19914']
Community 988: ['19916']
Community 989: ['19917']
Community 990: ['19918']
Community 991: ['19920']
Community 992: ['19921']
Community 993: ['19922']
Community 994: ['19924']
Community 995: ['19925']
Community 996: ['19926']
Community 997: ['19928']
Community 998: ['19929']
Community 999: ['19930']
Community 1000: ['19932']
Community 1001: ['19933']
Community 1002: ['19934']
Community 1003: ['19936']
Community 1004: ['19937']
Community 1005: ['19938']
Community 1006: ['19940']
Community 1007: ['19941']
Community 1008: ['19942']
Community 1009: ['19944']
Community 1010: ['19945']
Community 1011: ['19946']
Community 1012: ['19948']
Community 1013: ['19949']
Community 1014: ['19950']
Community 1015: ['19952']
Community 1016: ['19953']
Community 1017: ['19954']
Community 1018: ['19956']
Community 1019: ['19957']
Community 1020: ['19958']
Community 1021: ['19960']
Community 1022: ['19961']
Community 1023: ['19962']
Community 1024: ['19964']
Community 1025: ['19965']
Community 1026: ['19966']
Community 1027: ['19968']
Community 1028: ['19969']
Community 1029: ['19970']
Community 1030: ['19972']
Community 1031: ['19973']
Community 1032: ['19974']
Community 1033: ['19976']
Community 1034: ['19977']
Community 1035: ['19978']
Community 1036: ['19980']
Community 1037: ['19981']
Community 1038: ['19982']
Community 1039: ['19984']
Community 1040: ['19985']
Community 1041: ['19986']
Community 1042: ['19988']
Community 1043: ['19989']
Community 1044: ['19990']
Community 1045: ['19992']
Community 1046: ['19993']
Community 1047: ['19994']
Community 1048: ['19996']
Community 1049: ['19997']
Community 1050: ['19998']
Community 1051: ['20000']
Community 1052: ['20001']
Community 1053: ['20002']
Community 1054: ['20004']
Community 1055: ['20005']
Community 1056: ['20006']
Community 1057: ['20008']
Community 1058: ['20009']
Community 1059: ['20010']
Community 1060: ['20012']
Community 1061: ['20013']
Community 1062: ['20014']
Community 1063: ['20016']
Community 1064: ['20017']
Community 1065: ['20018']
Community 1066: ['20020']
Community 1067: ['20021']
Community 1068: ['20022']
Community 1069: ['20024']
Community 1070: ['20025']
Community 1071: ['20026']
Community 1072: ['20028']
Community 1073: ['20029']
Community 1074: ['20030']
Community 1075: ['20032']
Community 1076: ['20033']
Community 1077: ['20034']
Community 1078: ['20036']
Community 1079: ['20037']
Community 1080: ['20038']
Community 1081: ['20040']
Community 1082: ['20041']
Community 1083: ['20042']
Community 1084: ['20044']
Community 1085: ['20045']
Community 1086: ['20046']
Community 1087: ['20048']
Community 1088: ['20049']
Community 1089: ['20050']
Community 1090: ['20052']
Community 1091: ['20053']
Community 1092: ['20054']
Community 1093: ['20056']
Community 1094: ['20057']
Community 1095: ['20058']
Community 1096: ['20060']
Community 1097: ['20061']
Community 1098: ['20062']
Community 1099: ['20064']
Community 1100: ['20065']
Community 1101: ['20066']
Community 1102: ['20068']
Community 1103: ['20069']
Community 1104: ['20070']
Community 1105: ['20072']
Community 1106: ['20073']
Community 1107: ['20074']
Community 1108: ['20076']
Community 1109: ['20077']
Community 1110: ['20078']
Community 1111: ['20080']
Community 1112: ['20081']
Community 1113: ['20082']
Community 1114: ['20084']
Community 1115: ['20085']
Community 1116: ['20086']
Community 1117: ['20088']
Community 1118: ['20089']
Community 1119: ['20090']
Community 1120: ['20092']
Community 1121: ['20093']
Community 1122: ['20094']
Community 1123: ['20096']
Community 1124: ['20097']
Community 1125: ['20098']
Community 1126: ['20100']
Community 1127: ['20101']
Community 1128: ['20102']
Community 1129: ['20104']
Community 1130: ['20105']
Community 1131: ['20106']
Community 1132: ['20108']
Community 1133: ['20109']
Community 1134: ['20110']
Community 1135: ['20112']
Community 1136: ['20113']
Community 1137: ['20114']
Community 1138: ['20116']
Community 1139: ['20117']
Community 1140: ['20118']
Community 1141: ['20120']
Community 1142: ['20121']
Community 1143: ['20122']
Community 1144: ['20124']
Community 1145: ['20125']
Community 1146: ['20126']
Community 1147: ['20128']
Community 1148: ['20129']
Community 1149: ['20130']
Community 1150: ['20132']
Community 1151: ['20133']
Community 1152: ['20134']
Community 1153: ['20136']
Community 1154: ['20137']
Community 1155: ['20138']
Community 1156: ['20140']
Community 1157: ['20141']
Community 1158: ['20142']
Community 1159: ['20144']
Community 1160: ['20145']
Community 1161: ['20146']
Community 1162: ['20148']
Community 1163: ['20149']
Community 1164: ['20150']
Community 1165: ['20152']
Community 1166: ['20153']
Community 1167: ['20154']
Community 1168: ['20156']
Community 1169: ['20157']
Community 1170: ['20158']
Community 1171: ['20160']
Community 1172: ['20161']
Community 1173: ['20162']
Community 1174: ['20164']
Community 1175: ['20165']
Community 1176: ['20166']
Community 1177: ['20168']
Community 1178: ['20169']
Community 1179: ['20170']
Community 1180: ['20172']
Community 1181: ['20173']
Community 1182: ['20174']
Community 1183: ['20176']
Community 1184: ['20177']
Community 1185: ['20178']
Community 1186: ['20180']
Community 1187: ['20181']
Community 1188: ['20182']
Community 1189: ['20184']
Community 1190: ['20185']
Community 1191: ['20186']
Community 1192: ['20188']
Community 1193: ['20189']
Community 1194: ['20190']
Community 1195: ['20192']
Community 1196: ['20193']
Community 1197: ['20194']
Community 1198: ['20196']
Community 1199: ['20197']
Community 1200: ['20198']
Community 1201: ['20200']
Community 1202: ['20201']
Community 1203: ['20202']
Community 1204: ['20204']
Community 1205: ['20205']
Community 1206: ['20206']
Community 1207: ['20208']
Community 1208: ['20209']
Community 1209: ['20210']
Community 1210: ['20212']
Community 1211: ['20213']
Community 1212: ['20214']
Community 1213: ['20216']
Community 1214: ['20217']
Community 1215: ['20218']
Community 1216: ['20220']
Community 1217: ['20221']
Community 1218: ['20222']
Community 1219: ['20224']
Community 1220: ['20225']
Community 1221: ['20226']
Community 1222: ['20228']
Community 1223: ['20229']
Community 1224: ['20230']
Community 1225: ['20232']
Community 1226: ['20233']
Community 1227: ['20234']
Community 1228: ['20236']
Community 1229: ['20237']
Community 1230: ['20238']
Community 1231: ['20240']
Community 1232: ['20241']
Community 1233: ['20242']
Community 1234: ['20244']
Community 1235: ['20245']
Community 1236: ['20246']
Community 1237: ['20248']
Community 1238: ['20249']
Community 1239: ['20250']
Community 1240: ['20252']
Community 1241: ['20253']
Community 1242: ['20254']
Community 1243: ['20256']
Community 1244: ['20257']
