Time Cost: 31473.23913693428s
Community 287: ['19736', '19737', '19738']
Community 288: ['19740', '19741', '19742']
Community 289: ['19744', '19745', '19746']
Community 290: ['19748', '19749', '19750']
Community 291: ['19752', '19753', '19754']
Community 292: ['19756', '19757', '19758']
Community 293: ['19760', '19761', '19762']
Community 294: ['19764', '19765', '19766']
Community 295: ['19768', '19769', '19770']
Community 296: ['19772', '19773', '19774']
Community 297: ['19776', '19777', '19778']
Community 298: ['19780', '19781', '19782']
Community 299: ['19784', '19785', '19786']
Community 300: ['19788', '19789', '19790']
Community 301: ['19792', '19793', '19794']
Community 302: ['19796', '19797', '19798']
Community 303: ['19800', '19801', '19802']
Community 304: ['19804', '19805', '19806']
Community 305: ['19808', '19809', '19810']
Community 306: ['19812', '19813', '19814']
Community 307: ['19816', '19817', '19818']
Community 308: ['19820', '19821', '19822']
Community 309: ['19824', '19825', '19826']
Community 310: ['19828', '19829', '19830']
Community 311: ['19832', '19833', '19834']
Community 312: ['19836', '19837', '19838']
Community 313: ['19840', '19841', '19842']
Community 314: ['19844', '19845', '19846']
Community 315: ['19848', '19849', '19850']
Community 316: ['19852', '19853', '19854']
Community 317: ['19856', '19857', '19858']
Community 318: ['19860', '19861', '19862']
Community 319: ['19864', '19865', '19866']
Community 320: ['19868', '19869', '19870']
Community 321: ['19872', '19873', '19874']
Community 322: ['19876', '19877', '19878']
Community 323: ['19880', '19881', '19882']
Community 324: ['19884', '19885', '19886']
Community 325: ['19888', '19889', '19890']
Community 326: ['19892', '19893', '19894']
Community 327: ['19896', '19897', '19898']
Community 328: ['19900', '19901', '19902']
Community 329: ['19904', '19905', '19906']
Community 330: ['19908', '19909', '19910']
Community 331: ['19912', '19913', '19914']
Community 332: ['19916', '19917', '19918']
Community 333: ['19920', '19921', '19922']
Community 334: ['19924', '19925', '19926']
Community 335: ['19928', '19929', '19930']
Community 336: ['19932', '19933', '19934']
Community 337: ['19936', '19937', '19938']
Community 338: ['19940', '19941', '19942']
Community 339: ['19944', '19945', '19946']
Community 340: ['19948', '19949', '19950']
Community 341: ['19952', '19953', '19954']
Community 342: ['19956', '19957', '19958']
Community 343: ['19960', '19961', '19962']
Community 344: ['19964', '19965', '19966']
Community 345: ['19968', '19969', '19970']
Community 346: ['19972', '19973', '19974']
Community 347: ['19976', '19977', '19978']
Community 348: ['19980', '19981', '19982']
Community 349: ['19984', '19985', '19986']
Community 350: ['19988', '19989', '19990']
Community 351: ['19992', '19993', '19994']
Community 352: ['19996', '19997', '19998']
Community 353: ['20000', '20001', '20002']
Community 354: ['20004', '20005', '20006']
Community 355: ['20008', '20009', '20010']
Community 356: ['20012', '20013', '20014']
Community 357: ['20016', '20017', '20018']
Community 358: ['20020', '20021', '20022']
Community 359: ['20024', '20025', '20026']
Community 360: ['20028', '20029', '20030']
Community 361: ['20032', '20033', '20034']
Community 362: ['20036', '20037', '20038']
Community 363: ['20040', '20041', '20042']
Community 364: ['20044', '20045', '20046']
Community 365: ['20048', '20049', '20050']
Community 366: ['20052', '20053', '20054']
Community 367: ['20056', '20057', '20058']
Community 368: ['20060', '20061', '20062']
Community 369: ['20064', '20065', '20066']
Community 370: ['20068', '20069', '20070']
Community 371: ['20072', '20073', '20074']
Community 372: ['20076', '20077', '20078']
Community 373: ['20080', '20081', '20082']
Community 374: ['20084', '20085', '20086']
Community 375: ['20088', '20089', '20090']
Community 376: ['20092', '20093', '20094']
Community 377: ['20096', '20097', '20098']
Community 378: ['20100', '20101', '20102']
Community 379: ['20104', '20105', '20106']
Community 380: ['20108', '20109', '20110']
Community 381: ['20112', '20113', '20114']
Community 382: ['20116', '20117', '20118']
Community 383: ['20120', '20121', '20122']
Community 384: ['20124', '20125', '20126']
Community 385: ['20128', '20129', '20130']
Community 386: ['20132', '20133', '20134']
Community 387: ['20136', '20137', '20138']
Community 388: ['20140', '20141', '20142']
Community 389: ['20144', '20145', '20146']
Community 390: ['20148', '20149', '20150']
Community 391: ['20152', '20153', '20154']
Community 392: ['20156', '20157', '20158']
Community 393: ['20160', '20161', '20162']
Community 394: ['20164', '20165', '20166']
Community 395: ['20168', '20169', '20170']
Community 396: ['20172', '20173', '20174']
Community 397: ['20176', '20177', '20178']
Community 398: ['20180', '20181', '20182']
Community 399: ['20184', '20185', '20186']
Community 400: ['20188', '20189', '20190']
Community 401: ['20192', '20193', '20194']
Community 402: ['20196', '20197', '20198']
Community 403: ['20200', '20201', '20202']
Community 404: ['20204', '20205', '20206']
Community 405: ['20208', '20209', '20210']
Community 406: ['20212', '20213', '20214']
Community 407: ['20216', '20217', '20218']
Community 408: ['20220', '20221', '20222']
Community 409: ['20224', '20225', '20226']
Community 410: ['20228', '20229', '20230']
Community 411: ['20232', '20233', '20234']
Community 412: ['20236', '20237', '20238']
Community 413: ['20240', '20241', '20242']
Community 414: ['20244', '20245', '20246']
Community 415: ['20248', '20249', '20250']
Community 416: ['20252', '20253', '20254']
Community 417: ['20256', '20257', '20258']
Community 418: ['20260', '20261', '20262']
Community 419: ['20264', '20265', '20266']
Community 420: ['20268', '20269', '20270']
Community 421: ['20272', '20273', '20274']
Community 422: ['20276', '20277', '20278']
Community 423: ['20280', '20281', '20282']
Community 424: ['20284', '20285', '20286']
Community 425: ['20288', '20289', '20290']
Community 426: ['20292', '20293', '20294']
Community 427: ['20296', '20297', '20298']
Community 428: ['20300', '20301', '20302']
Community 429: ['20304', '20305', '20306']
Community 430: ['20308', '20309', '20310']
Community 431: ['20312', '20313', '20314']
Community 432: ['20316', '20317', '20318']
Community 433: ['20320', '20321', '20322']
Community 434: ['20324', '20325', '20326']
Community 435: ['20328', '20329', '20330']
Community 436: ['20332', '20333', '20334']
Community 437: ['20336', '20337', '20338']
Community 438: ['20340', '20341', '20342']
Community 439: ['20344', '20345', '20346']
Community 440: ['20348', '20349', '20350']
Community 441: ['20352', '20353', '20354']
Community 442: ['20356', '20357', '20358']
Community 443: ['20360', '20361', '20362']
Community 444: ['20364', '20365', '20366']
Community 445: ['20368', '20369', '20370']
Community 446: ['20372', '20373', '20374']
Community 447: ['20376', '20377', '20378']
Community 448: ['20380', '20381', '20382']
Community 449: ['20384', '20385', '20386']
Community 450: ['20388', '20389', '20390']
Community 451: ['20392', '20393', '20394']
Community 452: ['20396', '20397', '20398']
Community 453: ['20400', '20401', '20402']
Community 454: ['20404', '20405', '20406']
Community 455: ['20408', '20409', '20410']
Community 456: ['20412', '20413', '20414']
Community 457: ['20416', '20417', '20418']
Community 458: ['20420', '20421', '20422']
Community 459: ['20424', '20425', '20426']
Community 460: ['20428', '20429', '20430']
Community 461: ['20432', '20433', '20434']
Community 462: ['20436', '20437', '20438']
Community 463: ['20440', '20441', '20442']
Community 464: ['20444', '20445', '20446']
Community 465: ['20448', '20449', '20450']
Community 466: ['20452', '20453', '20454']
Community 467: ['20456', '20457', '20458']
Community 468: ['20460', '20461', '20462']
